Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Speed_limit,Junction_Detail,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Urban_or_Rural_Area,Time_period,Vehicle_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Casualty_Type
-0.087212,51.546529,1,2,2.0,1.0,3,20.0,6.0,1,2,1,1,1,0,6,0,0,1,19.0,1,1,1,1,3
-0.363099,51.591258,1,2,1.0,1.0,3,30.0,3.0,1,2,1,2,1,0,6,0,0,1,59.0,1,1,1,1,7
-0.152581,51.502973,1,2,2.0,1.0,1,30.0,1.0,4,2,1,1,1,0,5,0,0,1,44.0,1,1,1,1,13
-0.105021,51.395469,1,2,2.0,1.0,3,30.0,9.0,1,2,1,1,1,0,5,0,0,2,23.0,1,1,1,1,7
-0.458581,51.495703999999996,1,2,2.0,1.0,4,70.0,5.0,1,2,1,1,1,0,5,0,0,1,62.0,1,1,1,1,7
-0.112222,51.416089,1,2,2.0,1.0,3,30.0,6.0,1,2,8,1,1,0,5,1,0,1,27.0,1,1,1,1,2
-0.09596299999999999,51.475089000000004,1,2,1.0,1.0,3,20.0,3.0,3,1,1,1,1,0,2,0,2,1,27.0,10,10,1,1,0
-0.15173699999999998,51.506017,1,2,2.0,1.0,2,30.0,9.0,1,1,1,1,1,0,3,1,0,1,33.0,1,1,1,1,1
-0.20285599999999998,51.36032,1,2,3.0,1.0,3,30.0,0.0,1,2,1,1,1,0,2,0,0,2,30.0,1,1,1,1,7
-0.346462,51.536531,1,2,2.0,1.0,0,30.0,1.0,1,1,1,1,1,0,2,0,0,1,25.0,1,1,1,1,7
-0.13128099999999998,51.428354999999996,1,2,1.0,1.0,3,30.0,0.0,3,2,2,2,1,0,2,0,2,1,51.0,5,5,1,1,0
